candidate_id,file_id,region_type,duration_sec,mean_ratio,confidence,plot_path,human_label
115_1_240901080042__seg0003__half__01,115_1_240901080042,half,4.0,0.4718,0.93,plots/115_1_240901080042/115_1_240901080042__seg0003__half1_double0.png,
103_1_241107112919__seg0003__half__01,103_1_241107112919,half,3.5,0.5,1.0,plots/103_1_241107112919/103_1_241107112919__seg0003__half2_double0.png,
108_1_241012102354__seg0002__half__05,108_1_241012102354,half,18.25,0.5148,0.873,plots/108_1_241012102354/108_1_241012102354__seg0002__half5_double0.png,
180_1_250811063212__seg0018__half__03,180_1_250811063212,half,10.75,0.4839,0.881,plots/180_1_250811063212/180_1_250811063212__seg0018__half5_double0.png,
103_1_250805091937__seg0001__half__01,103_1_250805091937,half,8.0,0.4822,0.899,plots/103_1_250805091937/103_1_250805091937__seg0001__half1_double0.png,
28_1_240806080518__seg0005__double__01,28_1_240806080518,double,3.0,2.0,0.941,plots/28_1_240806080518/28_1_240806080518__seg0005__half0_double3.png,
124_1_250818183734__seg0003__double__01,124_1_250818183734,double,3.75,2.0,1.0,plots/124_1_250818183734/124_1_250818183734__seg0003__half0_double2.png,
139_1_250103092009__seg0002__double__01,139_1_250103092009,double,3.5,2.0,0.94,plots/139_1_250103092009/139_1_250103092009__seg0002__half0_double1.png,
181_1_250807063035__seg0033__double__01,181_1_250807063035,double,5.0,2.0,0.956,plots/181_1_250807063035/181_1_250807063035__seg0033__half0_double1.png,
160_1_250808085902__seg0006__double__01,160_1_250808085902,double,4.5,2.0,0.984,plots/160_1_250808085902/160_1_250808085902__seg0006__half0_double1.png,
152_1_241121095544__seg0011__double__02,152_1_241121095544,double,17.75,2.0,0.97,plots/152_1_241121095544/152_1_241121095544__seg0011__half0_double2.png,
101_1_250220065018__seg0002__double__01,101_1_250220065018,double,5.0,2.0,1.0,plots/101_1_250220065018/101_1_250220065018__seg0002__half0_double1.png,
130_1_240903012402__seg0001__double__01,130_1_240903012402,double,3.25,2.0,0.986,plots/130_1_240903012402/130_1_240903012402__seg0001__half0_double1.png,
182_1_250812062154__seg0002__double__01,182_1_250812062154,double,9.5,2.0,0.939,plots/182_1_250812062154/182_1_250812062154__seg0002__half0_double6.png,
135_1_250315080303__seg0001__double__02,135_1_250315080303,double,6.25,2.0,0.937,plots/135_1_250315080303/135_1_250315080303__seg0001__half0_double2.png,
191_1_250710104158__seg0004__double__01,191_1_250710104158,double,3.0,2.0,1.0,plots/191_1_250710104158/191_1_250710104158__seg0004__half0_double1.png,
154_1_250419101129__seg0001__double__01,154_1_250419101129,double,4.0,2.0,0.968,plots/154_1_250419101129/154_1_250419101129__seg0001__half0_double1.png,
115_1_241219090325__seg0001__double__01,115_1_241219090325,double,4.5,2.0,0.905,plots/115_1_241219090325/115_1_241219090325__seg0001__half0_double1.png,
153_1_240909142115__seg0003__double__01,153_1_240909142115,double,47.75,2.0,0.928,plots/153_1_240909142115/153_1_240909142115__seg0003__half0_double1.png,
163_1_250801094124__seg0020__double__01,163_1_250801094124,double,3.75,2.0,0.892,plots/163_1_250801094124/163_1_250801094124__seg0020__half0_double1.png,
149_1_250314212917__seg0003__double__02,149_1_250314212917,double,11.5,2.0,0.932,plots/149_1_250314212917/149_1_250314212917__seg0003__half0_double3.png,
151_1_241208040633__seg0001__double__02,151_1_241208040633,double,7.25,2.0,0.969,plots/151_1_241208040633/151_1_241208040633__seg0001__half0_double2.png,
112_1_250812082543__seg0001__double__02,112_1_250812082543,double,8.75,2.0,0.921,plots/112_1_250812082543/112_1_250812082543__seg0001__half0_double2.png,
122_1_241112081247__seg0001__double__01,122_1_241112081247,double,8.0,2.0,0.925,plots/122_1_241112081247/122_1_241112081247__seg0001__half0_double1.png,
28_1_240806080518__seg0005__double__02,28_1_240806080518,double,7.5,2.0,0.886,plots/28_1_240806080518/28_1_240806080518__seg0005__half0_double3.png,
800_1_240902094337__seg0003__double__01,800_1_240902094337,double,6.25,2.0,0.908,plots/800_1_240902094337/800_1_240902094337__seg0003__half0_double1.png,
157_1_250723172908__seg0001__double__01,157_1_250723172908,double,8.5,2.0,0.983,plots/157_1_250723172908/157_1_250723172908__seg0001__half0_double1.png,
109_1_241217091546__seg0001__double__01,109_1_241217091546,double,5.5,2.0,0.923,plots/109_1_241217091546/109_1_241217091546__seg0001__half0_double1.png,
162_1_241003195227__seg0002__double__01,162_1_241003195227,double,3.0,1.9099,0.907,plots/162_1_241003195227/162_1_241003195227__seg0002__half0_double3.png,
124_1_250809013522__seg0001__double__01,124_1_250809013522,double,15.0,2.0,0.966,plots/124_1_250809013522/124_1_250809013522__seg0001__half0_double1.png,
125_1_250122095138__seg0001__double__01,125_1_250122095138,double,3.25,2.0,0.967,plots/125_1_250122095138/125_1_250122095138__seg0001__half0_double1.png,
157_1_250304110429__seg0007__double__03,157_1_250304110429,double,3.75,2.0,0.936,plots/157_1_250304110429/157_1_250304110429__seg0007__half2_double1.png,
100_1_250127081740__seg0001__double__01,100_1_250127081740,double,3.5,2.0,0.941,plots/100_1_250127081740/100_1_250127081740__seg0001__half0_double1.png,
100_1_250402120429__seg0002__double__01,100_1_250402120429,double,9.25,2.0,0.907,plots/100_1_250402120429/100_1_250402120429__seg0002__half0_double1.png,
154_1_241019140623__seg0001__double__02,154_1_241019140623,double,4.25,2.0,0.984,plots/154_1_241019140623/154_1_241019140623__seg0001__half8_double1.png,
